wdid,icrsra,icrsdec,spectype,teff,logg,mass,age,Dage,Dpc,velU,velV,velW
Gaia DR3 571822260640527616,04 58 02.70,85 47 31.40,DB:,11865.0,7.668,0.412,,,372.14,,,
Gaia DR3 5718256515152213760,07 52 50.63,-17 01 53.75,DC,10132.0,8.293,0.766,,,164.59,,,
Gaia DR3 5718610691040173696,07 49 04.73,-17 14 30.60,DB:,39587.0,8.847,1.124,,,289.48,,,
Gaia DR3 5721102910235698944,08 06 00.37,-16 43 19.93,DB:,12635.0,8.226,0.726,,,300.21,,,
Gaia DR3 5721399842800678016,08 15 07.72,-15 46 52.42,DB,18605.0,7.986,0.588,,,347.30,,,
Gaia DR3 5721437947750140416,08 19 10.98,-15 56 07.37,DB,14803.0,7.763,0.463,,,378.00,,,
Gaia DR3 5721987428685478528,08 27 44.25,-16 02 15.87,DB,17584.0,7.845,0.51,,,213.31,,,
Gaia DR3 5722478227485073536,08 30 11.40,-15 04 18.64,DB,14547.0,7.549,0.37,,,178.66,,,
Gaia DR3 5723020870831624192,08 19 10.36,-15 19 35.06,DC,9264.0,7.776,0.456,,,194.20,,,
Gaia DR3 5723189641572477184,08 22 41.49,-14 19 22.04,DC:,8063.0,7.591,0.366,,,241.05,,,
Gaia DR3 5723890442795808256,08 22 03.39,-13 13 50.98,DZ,8802.0,7.948,0.547,,,214.47,,,
Gaia DR3 5724296334384366336,08 05 43.02,-15 47 43.66,DB,16616.0,7.933,0.554,,,267.29,,,
Gaia DR3 5724552932910993664,08 04 55.46,-15 06 56.78,DB,12133.0,7.811,0.481,,,311.12,,,
Gaia DR3 572487735757124480,01 41 19.80,83 35 04.61,DC:,11352.0,7.856,0.503,,,361.04,,,
Gaia DR3 5726573182446759936,08 16 24.07,-12 57 26.81,DC:,11607.0,8.184,0.697,,,252.50,,,
Gaia DR3 5726849095443024768,08 14 10.13,-12 27 20.24,DC:,8081.0,8.063,0.615,,,105.89,,,
Gaia DR3 5726851668128755456,08 13 00.10,-12 29 37.70,DC:,10042.0,7.901,0.524,,,244.80,,,
Gaia DR3 5727100260833194240,08 24 34.70,-11 46 43.77,DB,15783.0,7.869,0.518,,,319.31,,,
Gaia DR3 5727320850353575936,08 20 38.27,-11 44 00.00,DC:,8788.0,8.023,0.591,,,207.66,,,
Gaia DR3 5727463099670528128,08 09 49.21,-13 00 02.34,DZ:,6974.0,7.957,0.548,,,186.59,,,
Gaia DR3 5728258080939094784,08 16 02.08,-10 40 49.87,DB,29281.0,7.743,0.488,,,233.79,,,
Gaia DR3 5728785885173498496,09 03 56.39,-18 04 10.14,DZ:,8908.0,7.581,0.365,,,188.28,,,
Gaia DR3 5730084717644782592,08 50 12.09,-16 50 41.99,DB,14368.0,7.782,0.471,,,278.64,,,
Gaia DR3 5731099012825928320,09 13 02.08,-15 26 12.73,DB,20449.0,8.026,0.614,,,260.22,,,
Gaia DR3 573161908182763904,00 51 36.33,83 22 54.48,DC:,9167.0,7.468,0.322,,,266.00,,,
Gaia DR3 5731624167066538112,09 17 27.09,-14 31 14.67,DB,12079.0,8.229,0.727,,,200.11,,,
Gaia DR3 5732162584166280064,09 10 10.61,-14 18 58.53,DC:,8548.0,8.109,0.644,,,207.55,,,
Gaia DR3 5732690246668387328,09 14 14.69,-13 22 55.50,DC:,9639.0,7.905,0.525,,,194.70,,,
Gaia DR3 5733155889842641536,08 47 55.47,-16 27 57.40,DZ:,6094.0,8.209,0.704,,,132.84,,,
Gaia DR3 573358514606752896,01 01 37.80,84 40 22.48,DB,15330.0,7.876,0.522,,,245.96,,,
Gaia DR3 5735535370444130944,09 03 23.24,-13 11 06.75,DB:,23721.0,8.611,0.984,,,188.29,,,
Gaia DR3 5735625289880449536,08 57 54.09,-13 38 03.55,DB,14859.0,7.976,0.576,,,139.75,,,
Gaia DR3 5735693906276823680,08 55 43.26,-13 18 56.15,DC:,11169.0,7.839,0.493,,,309.06,,,
Gaia DR3 5735821419561509888,09 01 37.14,-12 28 40.52,DC:,9024.0,8.145,0.668,,,180.04,,,
Gaia DR3 5735900373944911104,09 05 48.93,-13 07 28.77,DB,15178.0,8.035,0.61,,,232.61,,,
Gaia DR3 5736541423584135936,08 54 03.26,-12 41 31.48,DZ,9986.0,7.861,0.502,,,130.49,,,
Gaia DR3 5737129593585710848,09 00 10.15,-11 18 22.20,DC:,7575.0,8.313,0.776,,,154.87,,,
Gaia DR3 5737146910894056960,08 59 34.28,-11 10 55.47,DC:,10071.0,8.424,0.853,,,198.14,,,
Gaia DR3 5737483292731857920,09 02 04.87,-10 20 54.68,DC,8079.0,8.364,0.811,,,110.52,,,
Gaia DR3 5739143177332575744,09 17 25.77,-11 50 07.42,DB,14829.0,8.066,0.628,,,182.57,,,
Gaia DR3 5739380087729195008,09 21 03.23,-11 08 55.05,DB,13701.0,7.812,0.485,,,316.49,,,
Gaia DR3 5739588823139435520,09 19 25.76,-10 55 38.49,DB,17404.0,7.96,0.571,,,263.63,,,
Gaia DR3 5739717397280395648,09 22 17.94,-10 31 20.95,DB,11636.0,7.786,0.467,,,335.79,,,
Gaia DR3 5740146241175408512,09 31 07.29,-11 02 31.27,DZ,8661.0,8.036,0.599,,,161.91,,,
Gaia DR3 5740382945412228352,09 34 27.32,-09 46 51.77,DB,18905.0,7.794,0.487,,,305.70,,,
Gaia DR3 5740920091202376960,09 38 02.72,-08 56 00.31,DC,8127.0,8.092,0.633,,,139.53,,,
Gaia DR3 574103983490610944,01 06 25.03,86 02 16.78,DQ:,11119.0,8.614,0.978,,,163.71,,,
Gaia DR3 5741138035022816640,09 31 11.83,-09 40 59.52,DC:,5273.0,7.944,0.536,,,119.20,,,
Gaia DR3 5741455488940257280,09 29 14.62,-08 45 03.60,DC:,10662.0,7.961,0.559,,,213.53,,,
Gaia DR3 5741775992285148160,09 36 59.67,-08 13 58.50,DC,11089.0,8.112,0.651,,,179.13,,,
Gaia DR3 5742486482955069952,09 09 02.13,-10 35 44.03,DC,10949.0,8.391,0.832,,,169.14,,,
Gaia DR3 5743329670935410688,09 05 38.65,-09 55 09.29,DC:,6702.0,8.27,0.746,,,124.36,,,
Gaia DR3 5743642585443328,02 42 58.64,04 26 53.09,DB,13243.0,8.04,0.61,,,225.66,,,
Gaia DR3 5744621287860075136,09 25 34.57,-07 52 12.72,DC,6717.0,7.093,0.198,,,146.91,,,
Gaia DR3 5748813656977998720,08 37 48.30,-10 01 15.17,DB,12330.0,7.939,0.55,,,308.13,,,
Gaia DR3 57499033591773824,03 26 28.23,18 44 38.11,DZ,7186.0,8.068,0.616,,,155.98,,,
Gaia DR3 5749924369879310336,08 51 49.81,-08 57 34.76,DB,28778.0,7.928,0.575,,,454.31,,,
Gaia DR3 575004346073997056,04 45 12.67,87 05 36.31,DB,14394.0,8.041,0.613,,,216.75,,,
Gaia DR3 5750101051949955328,08 42 22.46,-09 50 54.30,DC:,9691.0,8.075,0.625,,,205.22,,,
Gaia DR3 5750620085862105728,08 48 12.79,-08 56 16.57,DB,14696.0,8.008,0.594,,,263.01,,,
Gaia DR3 5750816176888401920,08 45 59.73,-08 54 15.10,DB,13517.0,8.298,0.773,,,303.09,,,
Gaia DR3 5751260826262588672,08 27 45.41,-11 07 23.57,DB,15602.0,7.956,0.566,,,234.86,,,
Gaia DR3 5751567521288585984,08 28 03.39,-10 14 33.51,DQ:,19791.0,8.683,1.025,,,214.50,,,
Gaia DR3 5751637890033251840,08 26 37.27,-09 55 54.24,DZ:,7350.0,7.617,0.375,,,208.78,,,
Gaia DR3 5752785887547160704,08 26 11.97,-09 33 51.45,DB,11773.0,7.975,0.569,,,207.04,,,
Gaia DR3 5752948306030398336,08 28 02.09,-08 45 06.91,DB,21643.0,8.03,0.618,,,327.51,,,
Gaia DR3 5753788775294916224,08 36 50.86,-08 10 44.38,DC:,8167.0,7.975,0.562,,,190.67,,,
Gaia DR3 5754029980657227520,08 44 07.93,-07 26 13.92,DB,10285.0,7.943,0.548,,,150.82,,,
Gaia DR3 57540742017257856,03 28 19.19,19 07 17.74,DC,8962.0,7.842,0.489,,,100.66,,,
Gaia DR3 5755050464886536192,08 38 34.86,-06 49 42.51,DB,12865.0,7.991,0.581,,,251.79,,,
Gaia DR3 5755841907101023616,09 01 49.86,-08 11 24.74,DB:,11614.0,7.894,0.524,,,232.67,,,
Gaia DR3 5756044698276476928,08 59 03.99,-08 07 36.72,DB,15662.0,8.067,0.63,,,175.51,,,
Gaia DR3 5756258278410764544,09 03 31.16,-07 43 32.61,DB,11637.0,8.093,0.64,,,298.83,,,
Gaia DR3 5756557173773922944,09 02 42.32,-06 59 58.59,DB,15413.0,8.041,0.614,,,388.80,,,
Gaia DR3 5758256091037934336,09 09 01.39,-05 34 47.98,DB,17449.0,7.932,0.555,,,288.74,,,
Gaia DR3 5758266295880216192,09 08 41.29,-05 36 08.34,DC:,7825.0,7.954,0.549,,,154.97,,,
Gaia DR3 5758314781766103296,09 12 27.58,-05 31 59.26,DB,16042.0,7.42,0.329,,,245.21,,,
Gaia DR3 5758460978157729408,09 18 51.71,-05 25 36.96,DQA,12927.0,8.794,1.085,,,181.69,,,
Gaia DR3 5759566021703318400,09 10 40.05,-04 24 03.07,DB:,11335.0,8.173,0.69,,,182.59,,,
Gaia DR3 5759580487152612352,09 12 57.64,-04 16 36.94,DC:,10602.0,7.831,0.488,,,272.93,,,
Gaia DR3 5759922881946492544,09 07 06.31,-03 25 08.05,DC,8109.0,7.478,0.321,,,170.77,,,
Gaia DR3 5761241780504051328,08 44 20.49,-05 39 50.10,DC:,6209.0,7.871,0.498,,,135.24,,,
Gaia DR3 5761471681512725632,08 44 50.71,-04 33 59.50,DQ,7583.0,8.122,0.651,,,121.35,,,
Gaia DR3 5761806379724414464,08 49 03.81,-04 30 31.56,DC,11131.0,7.991,0.577,,,204.22,,,
Gaia DR3 5761845451041124864,08 50 52.68,-04 03 15.10,DQ,7403.0,7.918,0.527,,,113.24,,,
Gaia DR3 5762012263276536448,08 50 15.22,-03 38 02.85,DB,16539.0,8.222,0.728,,,355.96,,,
Gaia DR3 5762506218874821376,09 03 40.51,-03 56 31.62,DB,19994.0,7.789,0.487,,,441.51,,,
Gaia DR3 5764291898773316864,09 02 54.94,-01 06 13.17,DC,9322.0,8.097,0.638,,,154.16,,,
Gaia DR3 5764552959770551680,08 59 15.63,-00 33 05.53,DB,11639.0,8.011,0.59,,,289.12,,,
Gaia DR3 5764909957451461376,12 32 56.55,-88 55 35.28,DZ:,9649.0,7.976,0.566,,,193.07,,,
Gaia DR3 5765488678525636352,16 11 32.47,-87 19 13.78,DB,15509.0,7.932,0.552,,,284.92,,,
Gaia DR3 5765928002141135104,14 28 57.09,-87 08 02.04,DC:,11107.0,8.021,0.595,,,183.19,,,
Gaia DR3 5766142406907948672,12 57 56.71,-86 38 07.86,DC,8058.0,7.443,0.308,,,140.02,,,
Gaia DR3 5766224973359140736,14 06 38.45,-86 06 04.50,DC:,5778.0,7.215,0.225,,,188.83,,,
Gaia DR3 5767493191301642240,17 32 31.60,-85 11 32.53,DC,10088.0,7.421,0.31,,,318.45,,,
Gaia DR3 5767859504770720384,17 09 44.65,-83 43 56.98,DC,9645.0,7.963,0.558,,,210.42,,,
Gaia DR3 5768427123350507520,15 37 18.44,-83 48 09.69,DC,9832.0,8.02,0.592,,,169.21,,,
Gaia DR3 5768643589701885696,16 05 06.77,-83 19 46.78,DC,10186.0,8.099,0.641,,,165.37,,,
Gaia DR3 5768675136240291968,16 12 00.39,-83 00 47.16,DB,14517.0,7.911,0.539,,,256.95,,,
Gaia DR3 576868052642895488,08 56 48.76,01 28 19.71,DC,,,,,,190.30,,,
Gaia DR3 5769159642907814272,12 57 49.28,-86 24 05.29,DB,18316.0,8.218,0.727,,,291.49,,,
Gaia DR3 5769512616205384576,12 44 14.25,-85 14 52.72,DB,11775.0,8.165,0.686,,,190.62,,,
Gaia DR3 5769597141162202752,13 35 22.70,-84 45 52.53,DC:,8013.0,6.598,0.103,,,373.52,,,
Gaia DR3 5769888374304313472,14 29 41.61,-84 18 30.80,DC,8965.0,7.425,0.306,,,176.37,,,
Gaia DR3 5769980290901558272,13 44 14.44,-84 27 20.91,DB,17862.0,7.912,0.545,,,188.49,,,
Gaia DR3 5770144530452485120,14 37 38.10,-83 21 23.63,DC:,7838.0,8.153,0.671,,,174.98,,,
Gaia DR3 5770299488574215552,12 41 10.86,-84 47 17.87,DB,14672.0,7.891,0.528,,,290.36,,,
Gaia DR3 5770398998674198400,12 54 25.58,-84 30 37.98,DB,12938.0,8.022,0.599,,,188.38,,,
Gaia DR3 5770765372265741952,13 02 59.82,-83 20 53.29,DC:,11775.0,7.503,0.344,,,287.76,,,
Gaia DR3 5771523966571345152,15 16 27.84,-83 03 30.67,DB,13558.0,7.787,0.472,,,298.05,,,
Gaia DR3 5772173919678764544,15 44 19.61,-81 05 59.76,DC,8474.0,8.408,0.841,,,104.55,,,
Gaia DR3 5772536930311712640,14 41 11.42,-81 54 34.26,DZ:,7359.0,7.816,0.471,,,186.32,,,
Gaia DR3 577283324440405888,09 08 53.40,02 38 37.38,DB:,10971.0,8.199,0.706,,,269.47,,,
Gaia DR3 5772934468189687552,14 24 09.23,-80 51 46.61,DC:,6184.0,8.078,0.62,,,132.14,,,
Gaia DR3 5773041842373702528,14 31 19.97,-79 59 31.90,DZ:,7852.0,8.138,0.661,,,149.52,,,
Gaia DR3 5773195297263626752,15 16 21.21,-80 19 37.26,DQ:,6902.0,7.782,0.452,,,176.23,,,
Gaia DR3 5773240476020062464,15 24 24.91,-79 43 36.45,DB,12580.0,7.452,0.329,,,425.16,,,
Gaia DR3 5773558441040081408,14 55 36.65,-79 00 48.12,DB,16402.0,8.375,0.827,,,338.64,,,
Gaia DR3 5773978664935707904,17 03 04.94,-82 42 37.06,DC:,11293.0,7.879,0.515,,,320.39,,,
Gaia DR3 5774008214310828800,17 00 01.27,-82 27 03.09,DC,10051.0,7.455,0.321,,,243.74,,,
Gaia DR3 5774526599681641600,17 16 21.32,-81 02 02.73,DC:,9250.0,7.045,0.206,,,232.60,,,
Gaia DR3 5775364423246880000,16 51 43.58,-80 22 51.01,DB,13594.0,7.713,0.437,,,412.82,,,
Gaia DR3 5775665002239553280,16 28 37.25,-79 50 01.29,DZ,7382.0,8.015,0.584,,,144.15,,,
Gaia DR3 5776378963242834304,17 17 18.06,-79 05 54.84,DB,18778.0,7.016,0.246,,,643.17,,,
Gaia DR3 5776612029644302720,17 57 04.12,-78 26 45.41,DZ,10008.0,7.696,0.419,,,261.69,,,
Gaia DR3 5776688956801920256,17 46 05.84,-78 00 09.23,DB,14822.0,7.832,0.497,,,354.49,,,
Gaia DR3 5776949236117796224,17 22 51.74,-77 27 05.45,DC,9361.0,8.195,0.701,,,198.10,,,
Gaia DR3 5777773831180788608,17 06 36.16,-76 53 54.91,DB,11350.0,7.886,0.519,,,263.89,,,
Gaia DR3 5777943881824707712,16 48 14.75,-76 42 27.83,DC,9544.0,8.082,0.629,,,120.28,,,
Gaia DR3 5778821184726296064,16 07 06.97,-78 23 29.75,DZ,9214.0,7.954,0.552,,,167.71,,,
Gaia DR3 5778822627834931968,16 23 55.52,-78 56 31.79,DB,11955.0,7.472,0.333,,,328.70,,,
Gaia DR3 5779330194184794880,15 21 03.17,-78 57 51.00,DB,19238.0,7.458,0.353,,,561.44,,,
Gaia DR3 5779862387878596224,15 46 49.14,-77 35 30.63,DC,10537.0,7.448,0.321,,,239.05,,,
Gaia DR3 5780469661892540544,16 20 33.98,-77 23 45.57,DC:,10873.0,8.035,0.603,,,208.45,,,
Gaia DR3 5780940149789752192,16 38 02.74,-76 33 34.47,DC,9180.0,8.247,0.735,,,174.60,,,
Gaia DR3 5781107795253788032,16 40 04.55,-75 24 24.39,DC:,50797.0,7.696,0.518,,,501.14,,,
Gaia DR3 5781307803291049984,16 13 23.10,-75 20 30.68,DB,14960.0,7.878,0.521,,,327.07,,,
Gaia DR3 5781526571745513600,15 58 28.20,-76 12 51.63,DC:,8669.0,7.783,0.458,,,128.65,,,
Gaia DR3 5781854398003188608,15 39 29.42,-75 27 12.77,DC,6315.0,7.627,0.376,,,113.76,,,
Gaia DR3 5782111645071179392,16 14 24.48,-74 26 52.94,DB,15316.0,7.95,0.562,,,221.04,,,
Gaia DR3 5782799183438201088,12 58 12.15,-82 56 58.16,DC:,10488.0,7.992,0.577,,,173.72,,,
Gaia DR3 5782849387307271808,12 52 27.68,-82 35 12.03,DC:,6937.0,7.622,0.376,,,119.24,,,
Gaia DR3 5783185180735844736,13 12 26.97,-82 38 30.82,DC:,5587.0,7.825,0.47,,,117.04,,,
Gaia DR3 5783568291817711232,13 09 30.93,-81 01 36.46,DB,14673.0,8.105,0.652,,,172.16,,,
Gaia DR3 5783999716990946688,12 44 36.93,-81 03 04.71,DB:,17355.0,6.574,0.187,,,332.62,,,
Gaia DR3 5784529608579336576,13 21 53.16,-79 52 10.15,DZ,7411.0,7.967,0.555,,,120.82,,,
Gaia DR3 5784554759909044480,13 24 35.64,-79 29 26.67,DC,9000.0,7.887,0.513,,,198.05,,,
Gaia DR3 5784902244240074368,14 03 13.06,-80 41 32.81,DB:,15106.0,5.94,0.069,,,550.74,,,
Gaia DR3 5785494052076721536,14 37 32.28,-79 04 19.63,DC,8172.0,7.852,0.492,,,141.41,,,
Gaia DR3 5785543671837747968,14 34 54.32,-78 55 11.40,DB,11893.0,7.818,0.484,,,278.41,,,
Gaia DR3 5786225197243587200,13 59 28.35,-78 16 51.82,DC:,10832.0,7.854,0.5,,,215.25,,,
Gaia DR3 5786379708693796096,13 36 51.61,-78 08 53.18,DC,8643.0,7.917,0.529,,,135.86,,,
Gaia DR3 5786702655873131904,14 19 24.55,-76 52 58.01,DB,12840.0,8.228,0.727,,,270.39,,,
Gaia DR3 5786724886623687296,14 28 14.28,-77 08 27.67,DC:,9749.0,8.077,0.626,,,229.22,,,
Gaia DR3 5787073947203825152,14 13 59.28,-76 10 52.24,DC,7350.0,8.16,0.675,,,121.91,,,
Gaia DR3 5787160366241354112,12 13 12.51,-80 31 44.95,DC:,9633.0,7.032,0.206,,,319.78,,,
Gaia DR3 5787470531603596800,12 21 08.08,-79 36 55.76,DC:,9121.0,6.824,0.159,,,260.35,,,
Gaia DR3 5787829449134743936,13 12 48.61,-78 58 11.23,DZ,4994.0,8.072,0.613,,,100.19,,,
Gaia DR3 5788616325795405824,12 10 41.24,-78 13 31.16,DC:,11249.0,7.365,0.296,,,264.21,,,
Gaia DR3 5790736557880107648,13 31 09.81,-75 22 13.33,DB,12373.0,7.879,0.517,,,330.97,,,
Gaia DR3 5791281950008792704,13 56 23.49,-74 06 58.65,DC:,7469.0,7.951,0.546,,,180.11,,,
Gaia DR3 5792089678734729472,15 06 34.16,-76 15 23.32,DC:,8170.0,7.903,0.52,,,153.64,,,
Gaia DR3 5792263504649458176,15 15 09.95,-76 19 22.27,DB,12250.0,7.755,0.454,,,267.89,,,
Gaia DR3 5792617203798370816,15 19 49.22,-75 09 34.70,DB,15411.0,8.219,0.725,,,374.74,,,
Gaia DR3 5793030620170732288,14 53 22.76,-74 47 45.51,DC,7540.0,8.236,0.725,,,122.50,,,
Gaia DR3 5793300653353924224,14 40 48.50,-74 23 08.62,DB,20377.0,8.049,0.627,,,449.27,,,
Gaia DR3 5793459567143371264,15 08 51.03,-74 30 54.31,DB:,11017.0,8.141,0.669,,,153.62,,,
Gaia DR3 5793544062043281536,15 05 17.34,-73 49 57.59,DB,14768.0,7.852,0.507,,,259.32,,,
Gaia DR3 5793665626797718016,14 55 03.39,-73 44 15.05,DB,18238.0,8.011,0.601,,,116.57,,,
Gaia DR3 5793701219182484608,14 47 14.62,-73 42 42.72,DC,9461.0,8.05,0.609,,,152.06,,,
Gaia DR3 5795107082240286848,15 12 14.50,-72 57 00.58,DB,11020.0,7.875,0.512,,,228.56,,,
Gaia DR3 5796517377700111104,14 14 23.07,-73 38 00.25,DC:,9038.0,7.788,0.461,,,128.10,,,
Gaia DR3 5796933577211948672,14 48 48.97,-72 19 57.73,DC,8850.0,7.855,0.496,,,204.49,,,
Gaia DR3 5797118230749665920,14 44 42.93,-72 20 51.09,DB,12199.0,8.303,0.775,,,103.12,,,
Gaia DR3 5797197292501149056,14 43 50.05,-71 46 24.48,DC,8681.0,8.025,0.593,,,218.43,,,
